epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,659.666,1.31204,1.96995,1.26422,0.52511,0.42591,0.43741,0.2759,1.40137,1.75496,1.31915,0.000370152,0.000370152,0.000370152
2,1311.46,1.38426,1.72075,1.31959,0.60717,0.43399,0.49459,0.31487,1.39083,1.58648,1.32361,0.000703832,0.000703832,0.000703832
3,1921.84,1.39319,1.67383,1.32806,0.56751,0.43125,0.47723,0.30649,1.37869,1.59925,1.32785,0.00100085,0.00100085,0.00100085
4,2531.28,1.36298,1.61953,1.31572,0.63572,0.46359,0.52777,0.34206,1.33752,1.4479,1.27725,0.000946016,0.000946016,0.000946016
5,3132.02,1.31779,1.53944,1.29048,0.63771,0.48852,0.54529,0.35443,1.32071,1.38979,1.26591,0.000891022,0.000891022,0.000891022
6,3723.21,1.29507,1.47549,1.2702,0.65053,0.48976,0.5603,0.37024,1.2874,1.34794,1.24031,0.000836027,0.000836027,0.000836027
7,4315,1.27808,1.43501,1.25744,0.63256,0.52104,0.58137,0.38537,1.25929,1.30712,1.23244,0.000781033,0.000781033,0.000781033
8,4902.64,1.25213,1.38908,1.24387,0.67667,0.50953,0.58505,0.38956,1.25363,1.28469,1.21876,0.000726038,0.000726038,0.000726038
9,5490.06,1.23172,1.35907,1.23385,0.66257,0.52914,0.59701,0.40063,1.22659,1.25298,1.20825,0.000671044,0.000671044,0.000671044
10,6076.75,1.21472,1.32382,1.22216,0.69479,0.52866,0.61434,0.4125,1.21607,1.20986,1.19609,0.000616049,0.000616049,0.000616049
11,6707.92,1.23294,1.29597,1.22794,0.67337,0.52373,0.60651,0.41058,1.21868,1.22866,1.20122,0.000561055,0.000561055,0.000561055
12,7283.73,1.21736,1.25597,1.21403,0.69021,0.54214,0.61877,0.42262,1.19768,1.19003,1.18623,0.00050606,0.00050606,0.00050606
13,7861.8,1.20011,1.22116,1.20369,0.70883,0.53096,0.62368,0.4289,1.19195,1.17198,1.17974,0.000451066,0.000451066,0.000451066
14,8432.78,1.18809,1.19286,1.19444,0.69841,0.54891,0.63197,0.43667,1.18248,1.15441,1.17619,0.000396071,0.000396071,0.000396071
15,9003.85,1.1642,1.15926,1.17975,0.71861,0.54632,0.63411,0.43883,1.16807,1.14287,1.17144,0.000341077,0.000341077,0.000341077
16,9588.87,1.15451,1.1358,1.1745,0.7159,0.55552,0.64608,0.44815,1.17017,1.12257,1.16734,0.000286083,0.000286083,0.000286083
17,10160.2,1.13938,1.10335,1.16061,0.70312,0.57267,0.64968,0.45223,1.15817,1.10747,1.16248,0.000231088,0.000231088,0.000231088
18,10731.9,1.12591,1.07873,1.15189,0.70074,0.57509,0.65028,0.45182,1.15428,1.09672,1.15627,0.000176094,0.000176094,0.000176094
19,11301.8,1.10768,1.04862,1.14576,0.71968,0.56446,0.65548,0.45639,1.14381,1.09088,1.15252,0.000121099,0.000121099,0.000121099
20,11874,1.09681,1.03154,1.13662,0.72131,0.582,0.66068,0.46298,1.13852,1.07569,1.14751,6.61045e-05,6.61045e-05,6.61045e-05
